metric,component,finite_ratio,mean_abs_finite,rmse_finite,p95_abs_finite,p99_abs_finite,max_abs_finite
pde,Ex eq,0.133056641,0.000741787068,0.00125054675,0.00211791657,0.0039520919,0.0184082948
pde,Ey eq,0.156616211,0.00078509449,0.00133912038,0.00294819188,0.00524862262,0.0156826228
pde,Hz eq,0.223388672,0.00198990368,0.00538307606,0.00513462608,0.0245966954,0.0762689561
ic,Ex,1,0.000166604295,0.000247779025,0.000503540039,0.000823974609,0.00259399414
ic,Ey,1,0.000158138108,0.0002057283,0.000394630432,0.000598907471,0.00188446045
ic,Hz,1,0.000130254775,0.000187364089,0.000427246094,0.000564575195,0.000778198242
bc,x0,0.418334961,8.78504389e-05,0.000298589661,0.000682928995,0.00149641023,0.00206046063
bc,x1,0.418334961,0.000164512536,0.000468465077,0.00128870783,0.00200471336,0.00240834244
bc,y0,0.418334961,0.000478339587,0.00103976148,0.00241975114,0.00407046219,0.00845957641
bc,y1,0.418334961,0.000365919959,0.00110839618,0.00229238591,0.00524460146,0.0116240736
